100
512,212
524,213
537,214
549,216
561,219
573,222
585,226
596,231
607,237
618,243
628,250
638,258
647,266
656,275
664,284
672,294
679,304
685,315
691,326
696,337
700,349
703,361
706,373
708,385
709,398
710,410
709,422
708,435
706,447
703,459
700,471
696,483
691,494
685,505
679,516
672,526
664,536
656,545
647,554
638,562
628,570
618,577
607,583
596,589
585,594
573,598
561,601
549,604
537,606
524,607
512,608
500,607
487,606
475,604
463,601
451,598
439,594
428,589
417,583
406,577
396,570
386,562
377,554
368,545
360,536
352,526
345,516
339,505
333,494
328,483
324,471
321,459
318,447
316,435
315,422
314,410
315,398
316,385
318,373
321,361
324,349
328,337
333,326
339,315
345,304
352,294
360,284
368,275
377,266
386,258
396,250
406,243
417,237
428,231
439,226
451,222
463,219
475,216
487,214 
500,213
